,name,place_id,formatted_address,types,user_ratings_total,rating,lat,long,latlong
0,The Fire Department of the Government of Badung,ChIJkweO6so40i0R_IJc6237lZw,"Jl. Kebo Iwa No.39, Ubung Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80116, Indonesia","fire_station,point_of_interest,establishment",16,4.5,-8.6185706,115.1888026,"-8.6185706,115.1888026"
1,Dinas Pemadam Kebakaran Kota Denpasar,ChIJESrqPsZA0i0Rjc6M6ZITYIE,"Jl. Imam Bonjol No.176, Pemecutan Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80113, Indonesia","fire_station,point_of_interest,establishment",29,4.5,-8.6748679,115.2021114,"-8.6748679,115.2021114"
2,Pemadam Kebakaran Kunti Seminyak Kuta Bali,ChIJTziD7SVH0i0R5etjTdNIyO4,"Jl. Kunti II No.113, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","fire_station,point_of_interest,establishment",7,3.7,-8.687073,115.1765925,"-8.687073,115.1765925"
3,Kuta Fire and Rescue Station,ChIJsc10AyFH0i0RkEcIt777FkA,"Jl. Majapahit No.17, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","fire_station,point_of_interest,establishment",4,4.3,-8.7201635,115.1787868,"-8.7201635,115.1787868"
4,South Kuta Pechatu Fire Station,ChIJrxjgFCpb0i0RKVA9Go20Dp4,"54HR+VXJ, Perumahan Pecatu Graha, Jalan Griya Alam Pecatu, Ungasan, Kuta Selatan, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia","fire_station,point_of_interest,establishment",4,3.8,-8.820354,115.1423702,"-8.820354,115.1423702"
5,Pos Pemadam Kebakaran Renon,ChIJtYY6hA1B0i0Rbp62COwtXMk,"867Q+FP3, Jl. Juanda, Renon, Denpasar Selatan, Denpasar City, Bali 80226, Indonesia","fire_station,point_of_interest,establishment",0,0.0,-8.6863505,115.2392868,"-8.6863505,115.2392868"
6,Kantor Pemadam Kebakaran Puspem,ChIJMxWUPC850i0Rz2IWmg-39NQ,"95VH+HM3, Jl. Raya Sempidi, Sempidi, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia","fire_station,point_of_interest,establishment",6,5.0,-8.6061075,115.179157,"-8.6061075,115.179157"
7,Abiansemal Fire Department,ChIJj7eij4080i0RlvxrwOM3SG4,"Jl. Ciung Wanara No.11, Dauh Yeh Cani, Kec. Abiansemal, Kabupaten Badung, Bali 80352, Indonesia","fire_station,point_of_interest,establishment",2,5.0,-8.5196551,115.2088225,"-8.5196551,115.2088225"
8,Pos pemadam kebakaran kab. Klungkung,ChIJrQV8rv8R0i0R48235tkagqs,"FCC3+J84, Central Semarapura, Klungkung, Klungkung Regency, Bali 80761, Indonesia","fire_station,point_of_interest,establishment",1,5.0,-8.5284832,115.4033414,"-8.5284832,115.4033414"
9,Hydran Kebakaran,ChIJeSxjpnJE0i0Rbck1P1EFJb4,"65WG+4X6, Uluwatu St, Tuban, Kuta, Badung Regency, Bali 80361, Indonesia","fire_station,point_of_interest,establishment",0,0.0,-8.7547205,115.1773897,"-8.7547205,115.1773897"
10,UPT Badung Utara Dinas Pemadam Kebakaran Kab. Badung,ChIJUQVsxOg70i0R8B4v5hJ4A_0,"C5QC+Q2P, Jalan Raya, Mengwitani, Mengwi, Badung Regency, Bali 80351, Indonesia","fire_station,point_of_interest,establishment",5,4.4,-8.560527,115.1701104,"-8.560527,115.1701104"
11,Universindo Primasakti. PT,ChIJiebSYGA_0i0RfoL7yxJWMjA,"Jl. Raden Ajeng Kartini No.114, Dauh Puri Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80231, Indonesia","fire_station,point_of_interest,establishment",1,1.0,-8.6479144,115.2139629,"-8.6479144,115.2139629"
12,Guna Aman Jaya UD,ChIJlbmI3OFA0i0RYiNUOiJB_i8,"Jl. Raya Sesetan No.143, Sesetan, Denpasar Selatan, Kota Denpasar, Bali 80223, Indonesia","fire_station,point_of_interest,establishment",0,0.0,-8.6875197,115.2168316,"-8.6875197,115.2168316"
13,Kantor Pemadam Kebakaran Petang,ChIJ93nmNG8h0i0RHRk3UI8GQcs,"H6X9+998, Jalan, Petang, Badung Regency, Bali 80353, Indonesia","point_of_interest,establishment",1,5.0,-8.401596,115.2184614,"-8.401596,115.2184614"
14,Tri Karya Utama. CV,ChIJLXnJDexA0i0RYUIDVLIuWpQ,"86G9+9MJ, Jl. Ir.Ida.Bagus Oka, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80237, Indonesia","fire_station,point_of_interest,establishment",0,0.0,-8.6740547,115.2191367,"-8.6740547,115.2191367"
15,Flobal Pratama CV,ChIJ75QIUU8_0i0Rerp83io05II,"JL. Jend Gatot Subroto Tengah, No. 369, Dauh Puri Kaja, 80111, Ubung, Denpasar Utara, Pemecutan Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80111, Indonesia","fire_station,point_of_interest,establishment",0,0.0,-8.6390677,115.2019501,"-8.6390677,115.2019501"
16,Pemadam kebakaran kubutambahan,ChIJz3_m47KW0S0R5qnCv7TxhCU,"W57F+5QC, Bukti, Kubutambahan, Buleleng Regency, Bali 81171, Indonesia","fire_station,point_of_interest,establishment",0,0.0,-8.087053,115.1743947,"-8.087053,115.1743947"
17,Dinas Pemadam Kebakaran Tabanan,ChIJzZsng4g70i0RqetHUgZ0b8g,"F46H+C36, Delod Peken, Tabanan, Tabanan Regency, Bali 82121, Indonesia","fire_station,point_of_interest,establishment",4,4.3,-8.538959199999999,115.1276502,"-8.5389592,115.1276502"
18,Dinas Pemadam Kebakaran,ChIJU5JjQg5i0S0Ri_QV1coNS1I,"JJVP+26F, Pendem, Jembrana, Jembrana Regency, Bali 82218, Indonesia","point_of_interest,local_government_office,establishment",1,5.0,-8.357452499999999,114.6355916,"-8.3574525,114.6355916"
19,CV. Victory Bali,ChIJdyp7Jy5B0i0RIYPfAgdBIoE,"Jl. Raya Pemogan No.160-B, Pemogan, Denpasar Selatan, Kota Denpasar, Bali 80221, Indonesia","fire_station,point_of_interest,establishment",0,0.0,-8.7043289,115.1976488,"-8.7043289,115.1976488"
20,Diskar PB - Kota Bandung,ChIJaYJ_UsXnaC4RSJ876_K3pA4,"Jl. Sukabumi No.17, Kacapiring, Kec. Batununggal, Kota Bandung, Jawa Barat 40271, Indonesia","fire_station,point_of_interest,establishment",109,4.7,-6.9168696,107.6341168,"-6.9168696,107.6341168"
21,DAMKAR Kota Bandung,ChIJZbJNWKHDaC4R1gFOY40_IA4,"3M6C+4X2, Cipamokolan, Rancasari, Bandung City, West Java 40292, Indonesia","fire_station,point_of_interest,establishment",1,5.0,-6.9397394,107.6723763,"-6.9397394,107.6723763"
22,Pemadam Kebakaran Cihapit,ChIJVVVVFcrnaC4R73FJ4CaFF2c,"Cihapit, Bandung Wetan, Bandung Regency, West Java 40114, Indonesia","fire_station,point_of_interest,establishment",1,4.0,-6.9082952,107.6259713,"-6.9082952,107.6259713"
23,Dinas Kebakaran Kota Bandung,ChIJQ2xFy6bCaC4R9rDLB-l21Sk,"Jl. Aria Utama No.7, Cipamokolan, Kec. Rancasari, Kota Bandung, Jawa Barat 40292, Indonesia","point_of_interest,establishment",1,3.0,-6.9407155,107.672548,"-6.9407155,107.672548"
24,Pos Unit Damkar TKI,ChIJc5zgk0nvaC4R0Uq5N7F2Pig,"Jl. Taman Kopo Indah 3 No.22, Mekar Rahayu, Kec. Margaasih, Kabupaten Bandung, Jawa Barat 40218, Indonesia","fire_station,point_of_interest,establishment",19,4.8,-6.9693404,107.5528857,"-6.9693404,107.5528857"
25,ARFS building,ChIJyTlXCTPnaC4Rz9jHE5vp1CM,"3HWH+J5M, Husen Sastranegara, Cicendo, Bandung City, West Java 40174, Indonesia","fire_station,point_of_interest,establishment",0,0.0,-6.9034038,107.5777991,"-6.9034038,107.5777991"
26,UPT Diskar Pb Wilayah Utara,ChIJQVEcHTvnaC4RNtdLKso2qN4,"Jl. Sindang Sirna No.40, Gegerkalong, Kec. Sukajadi, Kota Bandung, Jawa Barat 40151, Indonesia","fire_station,point_of_interest,establishment",7,4.7,-6.877675099999999,107.5910415,"-6.8776751,107.5910415"
27,Dinas Kebakaran Dan Penanggulangan Bencana Kota Bandung UPT. Selatan,ChIJ2ybo4LboaC4RUNDip1pyNnw,"Jl. Caringin No.103, Babakan Ciparay, Kec. Babakan Ciparay, Kota Bandung, Jawa Barat 40223, Indonesia","local_government_office,point_of_interest,establishment",6,4.8,-6.9457976,107.5828845,"-6.9457976,107.5828845"
28,Alfa Galuh Perkasa. CV,ChIJadkf_aLmaC4Rlgl-IjVJ40I,"Jl. Leuwi Panjang Gg. Rukunsari II No.I/6, Situsaeur, Kec. Bojongloa Kidul, Kota Bandung, Jawa Barat 40153, Indonesia","fire_station,point_of_interest,establishment",1,5.0,-6.943018299999999,107.5960189,"-6.9430183,107.5960189"
29,CV Sukses Jaya Pemadam Distributor Alat Pemadam Api Bandung,ChIJnf-DCfjnaC4RsvphOYMFZzU,"3HGQ+RW7 Ruko Plaza Pagarsih, Jamika, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40231, Indonesia","point_of_interest,establishment",18,5.0,-6.9229587,107.5898098,"-6.9229587,107.5898098"
30,Dinas Pemadam Kebakaran dan Penyelamatan Kabupaten Bandung,ChIJQfoEFs3taC4RzY5819wXDQM,"Jalan Raya Soreang Kopo KM.17, Pamekaran, Soreang, Pamekaran, Kec. Soreang, Kabupaten Bandung, Jawa Barat 40912, Indonesia","fire_station,point_of_interest,establishment",47,4.7,-7.0256541,107.5252319,"-7.0256541,107.5252319"
31,Pemadam Kelaparan,ChIJrTlFmtbnaC4R4jMeXE-waKY,"Jl. Laswi No.105 - 107, Samoja, Kec. Batununggal, Kota Bandung, Jawa Barat 40273, Indonesia","point_of_interest,establishment",0,0.0,-6.924099399999999,107.6280587,"-6.9240994,107.6280587"
32,Disdamkar Kabupaten Bandung Pos Cileunyi,ChIJ-Z6l-PDDaC4RWG7U8byVHX0,"Komplek Kantor, Jl. Percobaan No.39, Cileunyi Kulon, Kec. Cileunyi, Kabupaten Bandung, Jawa Barat 40622, Indonesia","fire_station,point_of_interest,establishment",7,5.0,-6.9412033,107.7436176,"-6.9412033,107.7436176"
33,Agen Alat Pemadam Api Ringan (APAR),ChIJdzm6OZbCaC4RRj6Eh15QT-E,"Jl. Riung Purna III No.4, Cisaranten Kidul, Kec. Gedebage, Kota Bandung, Jawa Barat 40295, Indonesia","home_goods_store,store,point_of_interest,establishment",23,4.6,-6.9469843,107.6838872,"-6.9469843,107.6838872"
34,Pemadam Kebakaran Kab. Bandung Barat,ChIJpbW7tq3kaC4RjzJoApB3ya0,"4FRM+GFR, Kertajaya, Padalarang, West Bandung Regency, West Java 40553, Indonesia","fire_station,point_of_interest,establishment",24,4.9,-6.8586361,107.4836479,"-6.8586361,107.4836479"
35,Kantor Pemadam Kebakaran Kota Batam,ChIJ351KbMyO2TER6ULMBDGoiAk,"32QM+9CW, JL. Ahmad Yani, Duriangkang, Sukajadi, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29444, Indonesia","fire_station,point_of_interest,establishment",4,5.0,1.0884906,104.033566,"1.0884906,104.033566"
36,Fire Station Sei Panas,ChIJWZ6C-XSJ2TERqKI6YMV3i-I,"42PH+73J, Jl. Laksamana Bintan, Sungai Panas, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29432, Indonesia","fire_station,point_of_interest,establishment",14,4.7,1.1357006,104.0276546,"1.1357006,104.0276546"
37,Dinas Pemadam Kebakaran,ChIJq7dyBjuN2TERZcfr74C9-Qs,"3W3H+8RF, Jalan, Tanjung Uncang, Batu Aji, Batam City, Riau Islands 29425, Indonesia","fire_station,point_of_interest,establishment",1,5.0,1.0533645,103.9294591,"1.0533645,103.9294591"
38,Dinas Pemadam Kebakaran,ChIJmQ0fJTqL2TER2vlrV8W9tbY,"4WGH+972, Jalan R. E. Martadinata, Tj. Pinggir, Kec. Sekupang, Kota Batam, Kepulauan Riau 29433, Indonesia","fire_station,point_of_interest,establishment",6,5.0,1.1258814,103.9281451,"1.1258814,103.9281451"
39,Dinas Pemadam Kebakaran,ChIJeWctH8eO2TERkOGeg8s9GVY,"32QM+9CW, Sukajadi, Batam Kota, Batam City, Riau Islands 29444, Indonesia","fire_station,point_of_interest,establishment",3,4.3,1.0884953,104.0335784,"1.0884953,104.0335784"
40,PBK BP Batam Wilayah Batu Ampar,ChIJCarU0gKK2TERdgr60AznliI,"5283+WXP, Jl. El Nusa, Batu Merah, Kec. Batu Ampar, Kota Batam, Kepulauan Riau, Indonesia","fire_station,point_of_interest,establishment",1,5.0,1.1673488,104.0049722,"1.1673488,104.0049722"
41,Pos Pemadam Kebakaran Punggur,ChIJJUlJkzWF2TERUuMqTdAu4HQ,"345F+X8X, Kabil, Nongsa, Batam City, Riau Islands 29467, Indonesia","fire_station,point_of_interest,establishment",0,0.0,1.0599941,104.1233452,"1.0599941,104.1233452"
42,Tembesi Fire Station Post,ChIJV4vycKCR2TERAp8nWMXpcI4,"X2RM+FRJ, Jl. Trans Barelang, Tembesi, Kec. Sagulung, Kota Batam, Kepulauan Riau 29472, Indonesia","fire_station,point_of_interest,establishment",7,5.0,0.9912502999999999,104.0345771,"0.9912503,104.0345771"
43,Pos Pemadam Kebakaran Kabil,ChIJVYUNwuqF2TERlkJy5q9XrWQ,"34MC+9HX, Kabil, Nongsa, Batam City, Riau Islands 29467, Indonesia","fire_station,point_of_interest,establishment",6,3.7,1.0834145,104.1215811,"1.0834145,104.1215811"
44,Pos Pemadam Kebakaran Nongsa,ChIJyyeT4AqH2TERAos4IV503N0,"Batu Besar, Nongsa, Batam City, Riau Islands 29466, Indonesia","fire_station,point_of_interest,establishment",0,0.0,1.1621436,104.1188012,"1.1621436,104.1188012"
45,PENANGGULANGAN BAHAYA KEBAKARAN ( PBK ) BP BATAM,ChIJz8jdHseO2TERNdHPtAs483A,"32QM+9FH, Jl. Ahmad Yani, Muka Kuning, Kec. Sei Beduk, Kota Batam, Kepulauan Riau 29433, Indonesia","fire_station,point_of_interest,establishment",4,3.8,1.088426,104.0337199,"1.088426,104.0337199"
46,Kantor Kebakaran,ChIJIczJY2GO2TER34M5WYC-y1w,"326F+FW9, Kabil, Nongsa, Batam City, Riau Islands 29433, Indonesia","fire_station,point_of_interest,establishment",0,0.0,1.0611614,104.0248564,"1.0611614,104.0248564"
47,Fire Dept,ChIJMyd7ynSF2TERN_77DUadmk0,"346F+47J, Kabil, Nongsa, Batam City, Riau Islands 29467, Indonesia","fire_station,point_of_interest,establishment",0,0.0,1.060298,104.1231954,"1.060298,104.1231954"
48,Kantor Pemadam Kebakaran,ChIJS4G4EnqL2TERefVmxvoNIYw,"Jl. Pramuka No.2, Sungai Harapan, Kec. Sekupang, Kota Batam, Kepulauan Riau 29444, Indonesia","point_of_interest,establishment",3,4.7,1.1092916,103.9540598,"1.1092916,103.9540598"
49,Direktorat Pengamanan BP Batam,ChIJ-2ruOjqL2TERFwxBkJAqPUM,"4WGH+86X, Jl. RE Martadinata, Tj. Pinggir, Kec. Sekupang, Kota Batam, Kepulauan Riau 29444, Indonesia","fire_station,point_of_interest,establishment",0,0.0,1.1258609,103.9281026,"1.1258609,103.9281026"
50,Rumah Pak Acong,ChIJuyAcVUaP2TERAirOxSsbw0E,"Puri Agung No.2 A, Mangsang, Sei Beduk, Batam City, Riau Islands 29433, Indonesia","fire_station,point_of_interest,establishment",0,0.0,1.032814,104.0533302,"1.032814,104.0533302"
51,Hydrant Depan HMS Patam Lestari,ChIJodnEI5mL2TERamsXW_XBLYc,"4X99+34P, Jl. Tiban V, Patam Lestari, Kec. Sekupang, Kota Batam, Kepulauan Riau 29424, Indonesia","fire_station,point_of_interest,establishment",0,0.0,1.1177092,103.9678231,"1.1177092,103.9678231"
52,Jakarta Fire and Rescue Agency,ChIJkQLh1HP2aS4RI1EBxQUgL3c,"Jl. Kyai Haji Zainul Arifin No.71, RT.10/RW.10, Duri Pulo, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10140, Indonesia","fire_station,point_of_interest,establishment",111,4.6,-6.1618546,106.8084323,"-6.1618546,106.8084323"
53,Kantor Pemadam Kebakaran Jakarta Utara,ChIJAawJ1Q4gai4RyZvQqwyqrrU,"Jl. Komp. Pemadam Kebakaran No.113, RT.11/RW.6, Semper Bar., Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14130, Indonesia","fire_station,point_of_interest,establishment",59,4.8,-6.127199,106.926699,"-6.127199,106.926699"
54,Pemadam Kebakaran Prov. DKI Jakarta,ChIJM-tOtFntaS4R6l8Xro8pZLA,"Jl. Komp. TMII Pintu 3, Lubang Buaya, Cipayung, Lubang Buaya, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13810, Indonesia","fire_station,point_of_interest,establishment",16,4.8,-6.2994175,106.8987587,"-6.2994175,106.8987587"
55,Pemerintah Kotamadya Jakarta Pusat Suku Dinas Pemadam Kebakaran Pos Karet,ChIJfSJTcKP2aS4Rwy-GoWRiuxA,"Jl. Penjernihan 1 No.29, RT.10/RW.6, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210, Indonesia","fire_station,point_of_interest,establishment",11,3.9,-6.2016621,106.8084023,"-6.2016621,106.8084023"
56,Lebak Bulus Fire Station,ChIJ42YVv83xaS4RhkxBLCwLAWU,"Jl. Raya Pasar Jum'at, RT.10/RW.7, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310, Indonesia","fire_station,point_of_interest,establishment",82,4.6,-6.2888991,106.7750208,"-6.2888991,106.7750208"
57,Dinas Pemadam Kebakaran Sektor Gropet 311-01,ChIJlafigDT2aS4Rl65DssaYnAw,"RQWF+W93, RT.10/RW.4, Wijaya Kusuma, Grogol petamburan, West Jakarta City, Jakarta 11460, Indonesia","fire_station,point_of_interest,establishment",9,5.0,-6.152751,106.7734024,"-6.152751,106.7734024"
58,Dinas Penanggulangan Kebakaran Dan Penyelamatan (Damkar Johar),ChIJw3zEC1H0aS4RFMidIk5Jcm8,"Jl. Percetakan Negara II, RT.12/RW.3, Johar Baru, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10560, Indonesia","fire_station,point_of_interest,establishment",140,4.9,-6.1820936,106.8563319,"-6.1820936,106.8563319"
59,Suku Dinas Pemadam Kebakaran,ChIJ9YooKDn0aS4R4ovBQD_Azo4,"Taman Ismail Marzuki Jl. Cikini Raya No.73, RT.1/RW.2, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330, Indonesia","fire_station,point_of_interest,establishment",11,4.5,-6.1907324,106.8384689,"-6.1907324,106.8384689"
60,Pos Pemadam kebakaran Casablanca,ChIJbZcJeozzaS4Rqbq-cMPo_RY,"Jalan Casablanca Raya No.33B, RT.3/RW.5, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12960, Indonesia","fire_station,point_of_interest,establishment",11,3.7,-6.2219596,106.8450392,"-6.2219596,106.8450392"
61,"Kebayoran Baru Fire station, South Jakarta",ChIJnXUqVg3xaS4RSJSTye1VxU0,"Jl. Radio II No.4, RT.2/RW.4, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130, Indonesia","fire_station,point_of_interest,establishment",3,4.3,-6.2489658,106.7936533,"-6.2489658,106.7936533"
62,Pemadam Kebakaran Duri Pulo,ChIJ_RfFJ3L2aS4ROznlSWeVpok,"Jl. Imam Mahbud No.57, RT.2/RW.2, Duri Pulo, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10140, Indonesia","fire_station,point_of_interest,establishment",1,5.0,-6.161531699999999,106.8079064,"-6.1615317,106.8079064"
63,Pemadam kebakaran,ChIJtzimT7b1aS4R3WCIFSXgKRk,"No, Jl. Bungur Besar Raya No.20, RT.13/RW.1, Kel. Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10460, Indonesia","fire_station,point_of_interest,establishment",8,4.9,-6.1687338,106.8433395,"-6.1687338,106.8433395"
64,Kantor Pemadam Kebakaran,ChIJeYgqV_j1aS4RexgPbXZilkw,"Jl. Mangga Dua Dalam No.15, RT.8/RW.7, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730, Indonesia","fire_station,point_of_interest,establishment",1,5.0,-6.137941,106.82652,"-6.137941,106.82652"
65,Suku Dinas Pemadam Kebakaran,ChIJhQg3dyf3aS4RQR3XxkxdH6M,"1, Jl. C No.3, RT.3/RW.1, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 10350, Indonesia","fire_station,point_of_interest,establishment",7,4.3,-6.2004763,106.7682822,"-6.2004763,106.7682822"
66,Damkar Jakpus,ChIJ0_jaltX1aS4RhrbTdsrj8qk,"Jl. Tanah Abang I No.1, RW.8, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640, Indonesia","fire_station,point_of_interest,establishment",6,4.3,-6.1731004,106.8190484,"-6.1731004,106.8190484"
67,Dinas Pemadam Kebakaran Mampang Prapatan,ChIJyxTWq93zaS4RRMyqsiljoyA,"Jl. Kapten Tendean No.1, RT.1/RW.2, Kuningan Bar., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12710, Indonesia","fire_station,point_of_interest,establishment",11,4.6,-6.2403372,106.8266926,"-6.2403372,106.8266926"
68,Dept. of Fire and Disaster Management,ChIJf-kbTfMdai4RyPW8qy9_QLQ,"VQ9V+VVH, Jl. Tanah Merah, RT.1/RW.16, Penjaringan, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440, Indonesia","fire_station,point_of_interest,establishment",2,5.0,-6.130262699999999,106.7947245,"-6.1302627,106.7947245"
69,Dinas Pemadam Kebakaran Kecamatan Pasar Minggu,ChIJt_iVmRPyaS4RTafqQ7PKf78,"Jl. Salihara No.2, RT.1/RW.1, Jati Padang, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540, Indonesia","fire_station,point_of_interest,establishment",22,3.8,-6.2844029,106.8377027,"-6.2844029,106.8377027"
70,Dinas Pemadam Kebakaran Mangga Dua,ChIJbQ9XV_j1aS4R4997s9tZhRM,"Jl. Mangga Dua Dalam No.15, RT.1/RW.12, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730, Indonesia","fire_station,point_of_interest,establishment",3,5.0,-6.1375433,106.8270892,"-6.1375433,106.8270892"
71,Pemadam Kebakaran Tanjung Duren,ChIJD4CkTln2aS4ReALd_Q7lXjk,"12, Jl. Tanjung Duren Raya No.1, RW.2, Tj. Duren Utara, Kec. Grogol petamburan, Daerah Khusus Ibukota Jakarta 11470, Indonesia","fire_station,point_of_interest,establishment",42,4.5,-6.1735298,106.7879343,"-6.1735298,106.7879343"
72,Pemadam Kebakaran Kecamatan Tebet,ChIJ_9eG8r7zaS4RVNWrNAGQi3A,"Jl. Prof. DR. Soepomo No.47, RT.10/RW.6, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810, Indonesia","fire_station,point_of_interest,establishment",22,4.8,-6.2400519,106.8456267,"-6.2400519,106.8456267"
73,Dinas Pemadam Kebakaran,ChIJ2TAkieP0aS4RuX4Vdx84cHE,"RVCJ+67H, RT.8/RW.11, Kayu Putih, Pulo Gadung, East Jakarta City, Jakarta 13210, Indonesia","fire_station,point_of_interest,establishment",1,5.0,-6.1794367,106.8807322,"-6.1794367,106.8807322"
74,Pusdiklatkar Dinas Pemadam Kebakaran DKI Jakarta,ChIJEVtIgxDtaS4Rnaj24NgMq00,"6, Jl. Raya Ciracas No.113, Kec. Ciracas, Daerah Khusus Ibukota Jakarta 13740, Indonesia","fire_station,point_of_interest,establishment",204,4.8,-6.328544000000001,106.8797371,"-6.328544,106.8797371"
75,Dinas Pemadam Kebakaran,ChIJwxXNSt7waS4R7cfJw7QJF68,"Jl. Ciledug Raya, RT.7/RW.5, Cipulir, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12230, Indonesia","fire_station,point_of_interest,establishment",7,4.7,-6.2382146,106.7676953,"-6.2382146,106.7676953"
76,SUDIN JAKARTA PUSAT,ChIJOe9UI-D3aS4Rq9PQqYRZ77k,"RRQ5+79G, RT.10/RW.10, Duri Pulo, Gambir, Central Jakarta City, Jakarta 10140, Indonesia","fire_station,point_of_interest,establishment",2,5.0,-6.1618102,106.808442,"-6.1618102,106.808442"
77,pemadam kebakaran pejaten barat,ChIJRVNHLkzzaS4Ra2MvnvZ0yS4,"PRCJ+F5P, RT.1/RW.7, West Pejaten, Pasar Minggu, South Jakarta City, Jakarta 12510, Indonesia","fire_station,point_of_interest,establishment",4,5.0,-6.2787595,106.830513,"-6.2787595,106.830513"
